全局费用编码,中文费用名称,英文费用名称,助记符,默认币种,默认应/免税,可选开票类型,所属费用分类,对应的服务,对应的供应商类型,对应的财务科目,需提供的单据,科目说明,收付方向,原系统编码,科目说明英文
FC0258,监理费,,,CNY,应税,专票/普票,特殊科目,质量控制,待确认,,,监理费相关的费用，具体概念待进一步研究补充。,应付,CSN036,"Charges related to 监理费, detailed concept to be researched and supplemented."
FC0259,现场服务费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,现场服务费相关的费用，具体概念待进一步研究补充。,应付,"55157   , 55128, 55157","Charges related to 现场服务费, detailed concept to be researched and supplemented."
FC0260,日本舱单申报费,,,CNY,应税,专票/普票,单证文件费用,舱单,待确认,,,日本舱单申报费相关的费用，具体概念待进一步研究补充。,应付,550045,"Charges related to 日本舱单申报费, detailed concept to be researched and supplemented."
FC0261,欧洲舱单申报费,,,CNY,应税,专票/普票,单证文件费用,舱单,待确认,,,欧洲舱单申报费相关的费用，具体概念待进一步研究补充。,应付,"SEA01111, 655232","Charges related to 欧洲舱单申报费, detailed concept to be researched and supplemented."
FC0262,加拿大舱单申报费,,,CNY,应税,专票/普票,单证文件费用,舱单,待确认,,,加拿大舱单申报费相关的费用，具体概念待进一步研究补充。,应付,SEA01110,"Charges related to 加拿大舱单申报费, detailed concept to be researched and supplemented."
FC0263,美国舱单申报费,,,CNY,应税,专票/普票,单证文件费用,舱单,待确认,,,美国舱单申报费相关的费用，具体概念待进一步研究补充。,应付,"SEA01109, 655231","Charges related to 美国舱单申报费, detailed concept to be researched and supplemented."
FC0264,NVOCC代发分单反恐信息费,,,CNY,应税,专票/普票,特殊科目,HBL,待确认,,,NVOCC代发分单反恐信息费相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to NVOCC代发分单反恐信息费, detailed concept to be researched and supplemented."
FC0265,美国舱单更改费,,,CNY,应税,专票/普票,单证文件费用,舱单,待确认,,,美国舱单更改费相关的费用，具体概念待进一步研究补充。,应付,8013,"Charges related to 美国舱单更改费, detailed concept to be researched and supplemented."
FC0266,设备使用及租赁费用,,,CNY,应税,专票/普票,设备使用及租赁费用,设备保护,待确认,,,设备使用及租赁费用相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 设备使用及租赁费用, detailed concept to be researched and supplemented."
FC0267,叉车费,,,CNY,应税,专票/普票,设备使用及租赁费用,,待确认,,,叉车费相关的费用，具体概念待进一步研究补充。,应付,"WMS01003, 55773, AIR01001","Charges related to 叉车费, detailed concept to be researched and supplemented."
FC0268,板架租赁费,,,CNY,应税,专票/普票,设备使用及租赁费用,,待确认,,,板架租赁费相关的费用，具体概念待进一步研究补充。,应付,55818,"Charges related to 板架租赁费, detailed concept to be researched and supplemented."
FC0269,GPS使用费,,,CNY,应税,专票/普票,设备使用及租赁费用,,待确认,,,GPS使用费相关的费用，具体概念待进一步研究补充。,应付,"550059  , 55173","Charges related to GPS使用费, detailed concept to be researched and supplemented."
FC0270,电子密钥费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,电子密钥费相关的费用，具体概念待进一步研究补充。,应付,55093,"Charges related to 电子密钥费, detailed concept to be researched and supplemented."
FC0271,叉车租赁费,,,CNY,应税,专票/普票,设备使用及租赁费用,,待确认,,,叉车租赁费相关的费用，具体概念待进一步研究补充。,应付,55837,"Charges related to 叉车租赁费, detailed concept to be researched and supplemented."
FC0272,机动车租赁,,,CNY,应税,专票/普票,设备使用及租赁费用,,待确认,,,机动车租赁相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 机动车租赁, detailed concept to be researched and supplemented."
FC0273,吊车租赁费,,,CNY,应税,专票/普票,设备使用及租赁费用,,待确认,,,吊车租赁费相关的费用，具体概念待进一步研究补充。,应付,"55179   , 55179","Charges related to 吊车租赁费, detailed concept to be researched and supplemented."
FC0274,PAD租赁费,,,CNY,应税,专票/普票,设备使用及租赁费用,,待确认,,,PAD租赁费相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to PAD租赁费, detailed concept to be researched and supplemented."
FC0275,增值服务费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,增值服务费相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 增值服务费, detailed concept to be researched and supplemented."
FC0276,物流准备服务,,,CNY,应税,专票/普票,特殊科目,,待确认,,,物流准备服务相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 物流准备服务, detailed concept to be researched and supplemented."
FC0277,质量控制,,,CNY,应税,专票/普票,特殊科目,质量控制,待确认,,,质量控制相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 质量控制, detailed concept to be researched and supplemented."
FC0278,GPS安装费,,,CNY,应税,专票/普票,设备使用及租赁费用,,待确认,,,GPS安装费相关的费用，具体概念待进一步研究补充。,应付,WMSN085,"Charges related to GPS安装费, detailed concept to be researched and supplemented."
FC0279,核酸检测费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,核酸检测费相关的费用，具体概念待进一步研究补充。,应付,55858,"Charges related to 核酸检测费, detailed concept to be researched and supplemented."
FC0280,包装,,,CNY,应税,专票/普票,增值服务费用,,待确认,,,包装相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 包装, detailed concept to be researched and supplemented."
FC0281,加固费,,,CNY,应税,专票/普票,增值服务费用,加固,待确认,,,加固费相关的费用，具体概念待进一步研究补充。,应付,"SEAN097 , 55251","Charges related to 加固费, detailed concept to be researched and supplemented."
FC0282,托盘费,,,CNY,应税,专票/普票,增值服务费用,托盘,待确认,,,托盘费相关的费用，具体概念待进一步研究补充。,应付,WMS01013,"Charges related to 托盘费, detailed concept to be researched and supplemented."
FC0283,包装费,,,CNY,应税,专票/普票,增值服务费用,,待确认,,,包装费相关的费用，具体概念待进一步研究补充。,应付,"0326    , 55283, 55661","Charges related to 包装费, detailed concept to be researched and supplemented."
FC0284,材料费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,材料费相关的费用，具体概念待进一步研究补充。,应付,OP001019,"Charges related to 材料费, detailed concept to be researched and supplemented."
FC0285,组板费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,组板费相关的费用，具体概念待进一步研究补充。,应付,55880,"Charges related to 组板费, detailed concept to be researched and supplemented."
FC0286,拼装材料费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,拼装材料费相关的费用，具体概念待进一步研究补充。,应付,55845,"Charges related to 拼装材料费, detailed concept to be researched and supplemented."
FC0287,其他准备服务,,,CNY,应税,专票/普票,特殊科目,,待确认,,,其他准备服务相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 其他准备服务, detailed concept to be researched and supplemented."
FC0288,危标费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,危标费相关的费用，具体概念待进一步研究补充。,应付,"55271   , 55271","Charges related to 危标费, detailed concept to be researched and supplemented."
FC0289,贴标费,,,CNY,应税,专票/普票,增值服务费用,贴唛,待确认,,,贴标费相关的费用，具体概念待进一步研究补充。,应付,55759,"Charges related to 贴标费, detailed concept to be researched and supplemented."
FC0290,熏蒸费,,,CNY,应税,专票/普票,增值服务费用,熏蒸,待确认,,,熏蒸费相关的费用，具体概念待进一步研究补充。,应付,CQ001002,"Charges related to 熏蒸费, detailed concept to be researched and supplemented."
FC0291,检测鉴定费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,检测鉴定费相关的费用，具体概念待进一步研究补充。,应付,"550056  , 55771","Charges related to 检测鉴定费, detailed concept to be researched and supplemented."
FC0292,过磅费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,过磅费相关的费用，具体概念待进一步研究补充。,应付,"OPN056  , OPN056","Charges related to 过磅费, detailed concept to be researched and supplemented."
FC0293,消毒费,,,CNY,应税,专票/普票,增值服务费用,,待确认,,,消毒费相关的费用，具体概念待进一步研究补充。,应付,CQ001005,"Charges related to 消毒费, detailed concept to be researched and supplemented."
FC0294,贸易服务,,,CNY,应税,专票/普票,特殊科目,,待确认,,,贸易服务相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 贸易服务, detailed concept to be researched and supplemented."
FC0295,会展服务,,,CNY,应税,专票/普票,特殊科目,,待确认,,,会展服务相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 会展服务, detailed concept to be researched and supplemented."
FC0296,场馆管理费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,场馆管理费相关的费用，具体概念待进一步研究补充。,应付,55115,"Charges related to 场馆管理费, detailed concept to be researched and supplemented."
FC0297,ISF保证金,,,CNY,应税,专票/普票,特殊科目,,待确认,,,ISF保证金相关的费用，具体概念待进一步研究补充。,应付,"55149   , 55149","Charges related to ISF保证金, detailed concept to be researched and supplemented."
FC0298,进馆费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,进馆费相关的费用，具体概念待进一步研究补充。,应付,"55087   , 55144","Charges related to 进馆费, detailed concept to be researched and supplemented."
FC0299,施工费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,施工费相关的费用，具体概念待进一步研究补充。,应付,"55127   , 55127","Charges related to 施工费, detailed concept to be researched and supplemented."
FC0300,展品附加费,,,CNY,应税,专票/普票,跨境运输费用,,待确认,,,展品附加费相关的费用，具体概念待进一步研究补充。,应付,"55125   , 55125","Charges related to 展品附加费, detailed concept to be researched and supplemented."
FC0301,IT服务,,,CNY,应税,专票/普票,特殊科目,,待确认,,,IT服务相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to IT服务, detailed concept to be researched and supplemented."
FC0302,IT服务费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,IT服务费相关的费用，具体概念待进一步研究补充。,应付,"55136   , 55136","Charges related to IT服务费, detailed concept to be researched and supplemented."
FC0303,贸易代理费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,贸易代理费相关的费用，具体概念待进一步研究补充。,应付,"55143   , 55143","Charges related to 贸易代理费, detailed concept to be researched and supplemented."
FC0304,人工费用,,,CNY,应税,专票/普票,人工费用,,待确认,,,人工费用相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 人工费用, detailed concept to be researched and supplemented."
FC0305,人工费,,,CNY,应税,专票/普票,人工费用,,待确认,,,人工费相关的费用，具体概念待进一步研究补充。,应付,"OP001012, 55148, SEA01010","Charges related to 人工费, detailed concept to be researched and supplemented."
FC0306,自有车辆驾驶员人工费,,,CNY,应税,专票/普票,人工费用,,待确认,,,自有车辆驾驶员人工费相关的费用，具体概念待进一步研究补充。,应付,"55164   , 55164","Charges related to 自有车辆驾驶员人工费, detailed concept to be researched and supplemented."
FC0307,预约加班费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,预约加班费相关的费用，具体概念待进一步研究补充。,应付,"55188   , 55188","Charges related to 预约加班费, detailed concept to be researched and supplemented."
FC0308,利润分配,,,CNY,应税,专票/普票,特殊科目,,待确认,,,利润分配相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 利润分配, detailed concept to be researched and supplemented."
FC0309,利润分成,,,CNY,应税,专票/普票,利润分配,,待确认,,,利润分成相关的费用，具体概念待进一步研究补充。,应付,0102,"Charges related to 利润分成, detailed concept to be researched and supplemented."
FC0310,砍泡分成,,,CNY,应税,专票/普票,利润分配,,待确认,,,砍泡分成相关的费用，具体概念待进一步研究补充。,应付,854,"Charges related to 砍泡分成, detailed concept to be researched and supplemented."
FC0311,利润返还,,,CNY,应税,专票/普票,利润分配,,待确认,,,利润返还相关的费用，具体概念待进一步研究补充。,应付,"55812   , 0116, 55175","Charges related to 利润返还, detailed concept to be researched and supplemented."
FC0312,订舱佣金,,,CNY,应税,专票/普票,利润分配,订舱,待确认,,,订舱佣金相关的费用，具体概念待进一步研究补充。,应付,550016,"Charges related to 订舱佣金, detailed concept to be researched and supplemented."
FC0313,特殊科目,,,CNY,应税,专票/普票,特殊科目,,待确认,,,特殊科目相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 特殊科目, detailed concept to be researched and supplemented."
FC0314,包干费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,包干费相关的费用，具体概念待进一步研究补充。,应付,"OPN068  , 8010, OPN068","Charges related to 包干费, detailed concept to be researched and supplemented."
FC0315,服务费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,服务费相关的费用，具体概念待进一步研究补充。,应付,0063,"Charges related to 服务费, detailed concept to be researched and supplemented."
FC0316,门到门费用,,,CNY,应税,专票/普票,特殊科目,,待确认,,,门到门费用相关的费用，具体概念待进一步研究补充。,应付,0081,"Charges related to 门到门费用, detailed concept to be researched and supplemented."
FC0317,内陆费用,,,CNY,应税,专票/普票,特殊科目,,待确认,,,内陆费用相关的费用，具体概念待进一步研究补充。,应付,0322,"Charges related to 内陆费用, detailed concept to be researched and supplemented."
FC0318,附加费,,,CNY,应税,专票/普票,跨境运输费用,,待确认,,,附加费相关的费用，具体概念待进一步研究补充。,应付,655233,"Charges related to 附加费, detailed concept to be researched and supplemented."
FC0319,补贴申请服务费,,,CNY,应税,专票/普票,特殊科目,,待确认,,,补贴申请服务费相关的费用，具体概念待进一步研究补充。,应付,55915,"Charges related to 补贴申请服务费, detailed concept to be researched and supplemented."
FC0320,港口作业包干费,,,CNY,应税,专票/普票,码头/港口/场站费用,,待确认,,,港口作业包干费相关的费用，具体概念待进一步研究补充。,应付,OPN076,"Charges related to 港口作业包干费, detailed concept to be researched and supplemented."
FC0321,产品附加费,,,CNY,应税,专票/普票,跨境运输费用,,待确认,,,产品附加费相关的费用，具体概念待进一步研究补充。,应付,nan,"Charges related to 产品附加费, detailed concept to be researched and supplemented."
